scene_num,type_style,key,fisicas,interior,exterior,alexander,prompt,compuesta
1,castle · fantasy,fantasy-castle,0.584,0.521,0.929,0.786,0.790,0.715
2,shop · modern,modern-shop,0.577,0.481,0.138,0.545,0.684,0.519
3,tower · japanese,japanese-tower,0.919,0.906,0.999,0.722,0.933,0.903
4,residential · rustic,rustic-residential,0.493,0.282,0.000,0.679,0.399,0.443
5,temple · renaissance,renaissance-temple,0.544,0.469,0.539,0.549,0.795,0.604
6,shop · minimalist,minimalist-shop,0.526,0.875,1.000,0.652,0.719,0.744
7,tower · minimalist,minimalist-tower,0.425,0.377,0.000,0.550,0.746,0.467
8,barn · rustic,rustic-barn,0.891,0.763,0.990,0.778,0.922,0.873
9,monument · modern,modern-monument,0.937,0.946,1.000,0.805,0.941,0.930
10,shop · mediterranean,mediterranean-shop,0.740,0.456,0.293,0.713,0.527,0.548
11,castle · chinese,chinese-castle,0.598,0.495,0.973,0.718,0.679,0.676
12,tower · modern,modern-tower,0.239,0.190,0.000,0.386,0.615,0.386
13,residential · mediterranean,mediterranean-residential,0.845,0.899,0.990,0.732,0.930,0.886
14,temple · gothic,gothic-temple,0.930,0.860,1.000,0.766,0.938,0.904
15,residential · gothic,gothic-residential,0.916,0.704,0.991,0.745,0.699,0.794
16,lighthouse · mediterranean,mediterranean-lighthouse,0.719,0.603,0.812,0.774,0.847,0.757
17,castle · medieval,medieval-castle,0.870,0.688,0.961,0.556,0.944,0.822
18,castle · renaissance,renaissance-castle,0.941,0.894,0.999,0.717,0.784,0.860
19,tower · chinese,chinese-tower,0.368,0.742,0.529,0.658,0.772,0.632
20,temple · chinese,chinese-temple,0.916,0.643,1.000,0.754,0.865,0.834
